,SKU Interm 1,SKU EoF,Enzyme,Fermenter,Batch weight (kg),Total fractions (kg),Fractions (#),fermentation_prep,fermentation_time,fermentation_post,harvesting_time,FAM/MF_time,UF_time,stab_time,UF_fractions,UF__Weight ccUF (kg),MF,Stab,lag_receival_fraction,Etanks required (#),min_number_fractions_start_FAM,lag_start_fam,UF_lag,key
210,4613,4611,LYX,V200,200000.0,75000.0,3.0,12.0,138.0,8.0,20,10.990869124112276,17.99830902557599,4,2,14808.6956521739,0,0,60.0,0.0,5.0,110.0,2.959080148799459,109
211,4613,4611,LYX,V218,200000.0,75000.0,3.0,12.0,138.0,8.0,20,10.990869124112276,17.99830902557599,4,2,14808.6956521739,0,0,60.0,0.0,5.0,110.0,2.959080148799459,110
212,4616,4614,PEC,V100,176000.0,96000.0,8.0,14.0,105.0,8.0,10,32.3900831638536,35.57247658972445,4,1,5452.65659987883,0,1,48.0,0.0,10.0,96.0,5.491919033508425,111
213,4616,4614,PEC,V140,244000.0,136000.0,8.0,14.0,105.0,8.0,10,45.34614781178952,49.80150169139461,4,1,7633.72452284923,0,1,40.0,0.0,7.0,88.0,5.491919033508425,112
214,4616,4614,PEC,V200,380000.0,224000.0,8.0,14.0,105.0,6.0,10,35.30519378683987,38.77400292937769,4,2,11886.7924443396,0,1,False,0.0,4.0,64.0,5.491919033508425,113
215,4616,4614,PEC,V218,380000.0,224000.0,8.0,14.0,105.0,6.0,10,35.30519378683987,38.77400292937769,4,2,11886.7924443396,0,1,False,0.0,4.0,64.0,5.491919033508425,114
217,4627,4625,PNR,V140,80000.0,0.0,0.0,20.0,34.0,7.0,5,15.001500150465091,28.477218215553453,4,2,5937.499996875,0,0,False,1.0,inf,False,10.501050105325563,115
221,4630,4629,PBN,V140,72000.0,0.0,0.0,10.0,14.0,8.0,5,20.604395604395606,23.06629832872928,4,1,1908.57142742857,0,0,False,0.0,inf,False,6.009615384615385,116
224,4637,4635,XYL,V100,65000.0,0.0,0.0,19.0,51.0,21.0,9,6.639167157794531,13.016254063515879,4,1,1859.0,0,0,False,0.0,inf,False,3.4374386172013103,117
225,4637,4635,XYL,V140,91000.0,0.0,0.0,19.0,51.0,21.0,9,9.294834020912342,18.22275568892223,4,1,2602.6,0,0,False,0.0,inf,False,3.4374386172013103,118
